end,revenue,costofrevenue,inventory,gross_profit,gross_margin_pct,company,fiscal_year,GSCPI
2019-02-02,75356000000,53299000000,9497000000,22057000000,0.2927039651786188,TGT,2019,-0.0584608561426649
2020-02-01,78112000000,54864000000,8992000000,23248000000,0.29762392462105697,TGT,2020,1.6440856702943585
2021-01-30,93561000000,66177000000,10653000000,27384000000,0.29268605508705553,TGT,2021,3.050821015574344
2022-01-29,106005000000,74963000000,13902000000,31042000000,0.29283524362058394,TGT,2022,2.174905338053948
2023-01-28,109120000000,82229000000,13499000000,26891000000,0.24643511730205278,TGT,2023,-0.6183658205490161
2024-02-03,107412000000,77736000000,11886000000,29676000000,0.2762819796670763,TGT,2024,-0.290505856515938
2025-02-01,106566000000,76502000000,12740000000,30064000000,0.28211624720830286,TGT,2025,0.0018623113780507
2019-01-31,510329000000,385301000000,44269000000,125028000000,0.24499489544979808,WMT,2019,-0.0584608561426649
2020-01-31,519926000000,394605000000,44435000000,125321000000,0.241036224385778,WMT,2020,1.6440856702943585
2021-01-31,555233000000,420315000000,44949000000,134918000000,0.2429934820156583,WMT,2021,3.050821015574344
2022-01-31,567762000000,429000000000,56511000000,138762000000,0.24440170353070476,WMT,2022,2.174905338053948
2023-01-31,605881000000,463721000000,56576000000,142160000000,0.23463353364769649,WMT,2023,-0.6183658205490161
2024-01-31,642637000000,490142000000,54892000000,152495000000,0.23729570504032604,WMT,2024,-0.290505856515938
2025-01-31,674538000000,511753000000,56435000000,162785000000,0.24132813866676156,WMT,2025,0.0018623113780507
